slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality
0,-0.49320465326309204,0.0014733652347985514,-0.0038278130123333433,0.05353786907366725,0.043984864703789255,-0.4454676735097648,0.04852685779786733,1.1035810955973577,0.6,1.0,4913,0.7880975296759705,530,3223,1.0,0.9171883892999431,0.041405805350028455,0.1271414821944177
1,-0.48320465326309203,0.00189979077357436,0.00022177376257041272,0.05056924665928098,0.05370902459027116,1.422086756995792,0.052115495894549536,1.2103898423315882,0.6566666666666666,1.0,5833,0.8772747781621296,604,3225,1.0,0.9375,0.03125,0.08058956234020154
2,-0.473204653263092,0.0006303616406779955,-0.0023104485099936373,0.04904911786339565,0.05180302585356762,1.9373879278179504,0.05040726853115699,1.104480409839539,0.695,1.0,6119,0.8231100349744418,616,3147,1.0,0.9180280046674446,0.04098599766627771,0.12293852569276294
3,-0.463204653263092,-0.00032483344783551754,-0.004950811756919477,0.0468336789007311,0.04976093167592499,2.0713842162298493,0.04827512295076512,1.0881992510388814,0.6283333333333333,1.0,6388,0.7576799905112086,614,3078,1.0,0.8973760932944607,0.05131195335276968,0.15225773929545725
4,-0.453204653263092,-0.0008854782820050532,0.002467375668941492,0.04935805159503052,0.05183928106390182,1.5358339837096484,0.050583454897835466,1.1118315866122757,0.7383333333333333,1.0,7586,0.8153482373172829,616,3132,1.0,0.9136522753792299,0.043173862310385065,0.1363345514474061
5,-0.443204653263092,0.0007539878863014462,0.00025271815533172695,0.05278893806696045,0.0558029019782811,1.5571102612873744,0.05427500286953604,1.0695268063689425,0.655,1.0,4731,0.8472421203438395,616,3251,1.0,0.9483663943990666,0.025816802800466745,0.10005641117478513
6,-0.433204653263092,2.32303487899566e-05,0.0005197439461791024,0.054643236252492726,0.05429097687488959,0.5787055013548035,0.05446682178861927,1.1253329283973665,0.6783333333333333,1.0,4837,0.8620566743895919,644,3222,1.0,0.9476470588235294,0.026176470588235294,0.0935715558723935
7,-0.423204653263092,0.0010505689015879891,0.0005115553098487401,0.054231469641247844,0.05444184358934902,-0.621190308656419,0.05433655480272323,1.0343811804135752,0.71,1.0,4804,0.8545001778726432,648,3220,1.0,0.9481743227326266,0.02591283863368669,0.10330487371042332
8,-0.41320465326309197,-0.0004940281962449789,0.00014074926545639015,0.053535590547306514,0.05615176495458551,2.2467972460758467,0.05482807581082237,1.0373611752802576,0.6566666666666666,1.0,4952,0.8721380767876012,624,3266,1.0,0.9549707602339181,0.022514619883040935,0.08396266290947517
9,-0.40320465326309196,0.0029574090576969256,-0.0004416544781084859,0.055179174866086166,0.050684522200896295,1.296088778567616,0.052884119672424186,1.035595942142555,0.5683333333333334,1.0,4564,0.8142729705619982,592,3238,1.0,0.9380069524913094,0.030996523754345306,0.1055548617305977
10,-0.39320465326309195,0.0030777658064040495,0.003169463688283781,0.050276183129569205,0.05660563765995675,0.8331973547855938,0.05334712180762918,1.0813088350523177,0.5533333333333333,1.0,4593,0.8228233608025797,578,3275,1.0,0.9448932487016733,0.0275533756491633,0.09803774035590591
11,-0.38320465326309194,-0.00026359497489172775,0.0002675171333080061,0.05502716036829177,0.056272866549488355,1.1485164052859518,0.055646527762315746,1.0472228979436649,0.5883333333333334,1.0,4993,0.8903352353780314,630,3263,1.0,0.9557703573520797,0.022114821323960164,0.0645194365192582
12,-0.37320465326309193,0.002029233013355409,-0.0007758548032629046,0.05257207740570478,0.05518208106552492,-0.158053626351755,0.05386127214599235,1.0823850400115986,0.6433333333333333,1.0,4598,0.8375227686703096,613,3237,0.9951298701298701,0.9442823803967327,0.03029387473669854,0.10452701882210082
13,-0.3632046532630919,0.0008416402620879175,0.0005723451422419559,0.05542821647031922,0.055042871107544106,1.4375466211224484,0.055235207747385495,1.0331078216206409,0.6616666666666666,1.0,4801,0.8765747672083257,644,3244,0.9969040247678018,0.9546792230723955,0.024208376079901308,0.08166636236382448
14,-0.3532046532630919,-0.004081407105625423,0.0015820510212288623,0.05715431045035532,0.0451970584448647,1.2033392026417247,0.050825256613229716,1.0420377662733722,0.495,1.0,4081,0.7378412583619599,505,3292,0.986328125,0.9320498301245753,0.04081102243771234,0.12976857711082984
15,-0.3432046532630919,0.00019523919288616694,0.00012413740900050007,0.055483499343707075,0.055224362112645226,2.265412029482011,0.055353779085384885,1.091852270301444,0.6566666666666666,1.0,4770,0.8778064041221936,629,3239,0.9767080745341615,0.9526470588235294,0.03532243332115455,0.08024046129309288
16,-0.3332046532630919,0.0018905731136987505,0.00045232431973588934,0.05326018071216709,0.054634707962680835,0.4615954572255958,0.05394306646130581,1.0714631693401793,0.6733333333333333,1.0,4559,0.84036866359447,615,3228,0.9761904761904762,0.945518453427065,0.03914553519122939,0.10748509984639017
17,-0.3232046532630919,0.0003598235397204683,-0.00011512848054018895,0.0557825892729616,0.054665260173629264,0.08329580424992253,0.055221098827940275,1.0869302494369586,0.67,1.0,4712,0.8750232126276695,623,3250,0.9795597484276729,0.9536384976525821,0.03340087695987244,0.08373444753946147
18,-0.3132046532630919,-0.0003391166773841705,3.2654538594004004e-06,0.05611051770743606,0.05478717127963326,0.5565726659364247,0.05544489646690842,1.1464065480049284,0.64,1.0,4727,0.8830562301513171,620,3259,0.9810126582278481,0.955158264947245,0.03191453841245344,0.07484401270315708
19,-0.3032046532630919,-8.572474567241038e-05,-0.0005961528260155829,0.056272872450366856,0.05428096653082659,0.5666264769064898,0.055267946461505485,1.0478376865991077,0.6216666666666667,1.0,4691,0.8712852897473997,615,3264,0.9824281150159745,0.9549444119368051,0.031313736523610206,0.08001764487369985
20,-0.29320465326309186,0.0006927846265622233,0.0007893370310223308,0.05785338345703986,0.054688360088368776,0.9913126030957227,0.056248614799202595,1.0590821124128023,0.4716666666666667,1.0,4855,0.9025841234430192,605,3304,0.9821428571428571,0.9638273045507585,0.027014919153192197,0.04594782177604261
21,-0.28320465326309185,-0.006153629285577095,-0.004343488077548873,0.04777821456979291,0.055200227671081535,0.5503058445322853,0.05135531444719576,1.047562882984263,0.5,1.0,3994,0.7441773802869387,552,3227,0.9752650176678446,0.9278320874065555,0.04845144746279999,0.12791130985653065
22,-0.27320465326309185,2.7180676825068475e-05,0.00025868391350317925,0.05577552417557305,0.05579609584535612,0.029314984072259687,0.055785809062209105,1.0476350160492753,0.6483333333333333,1.0,4829,0.88997419830446,632,3254,0.9753086419753086,0.958186101295642,0.03325262836452471,0.07133339476594176
23,-0.26320465326309184,-0.0003607558820001851,-0.00016865385675943423,0.05607341829201285,0.055062067331891715,-0.6975926106255249,0.05556544189983681,1.0627702889819324,0.6283333333333333,1.0,4745,0.8798442425366215,618,3257,0.9716981132075472,0.9556924882629108,0.03630469926477102,0.07549786760615614
24,-0.25320465326309183,-0.00011067849371636435,0.00048796659654212727,0.05574381832122883,0.055555512684023416,-0.42345670401598073,0.05564958585471167,1.048518029022933,0.6333333333333333,1.0,4759,0.8830951939135275,628,3247,0.9691358024691358,0.9561248527679623,0.03736967238145095,0.07403971052143256
25,-0.24320465326309182,-0.0015985343823779474,-0.002007166905700915,0.05209903486920789,0.056501272805516124,0.8416806240597317,0.05425552305571491,1.0132904227710737,0.56,1.0,4532,0.8445769660827432,583,3275,0.9620462046204621,0.9525887143688191,0.04268254050535944,0.08703689899366379
26,-0.2332046532630918,-1.4061057596738202e-05,-0.0003076791344260852,0.054984058713912994,0.05616467234547743,2.101975499499427,0.055571230343509734,1.0801278649898598,0.6216666666666667,1.0,4698,0.8864150943396226,610,3260,0.9621451104100947,0.9560117302052786,0.04092157969231339,0.07061194968553461
27,-0.2232046532630918,-0.0013442529544791814,0.0008451477317502101,0.05363693421882409,0.05624177115880218,1.9547557195989003,0.054923912642808236,1.0424879016831625,0.5966666666666667,1.0,4625,0.8627121805633278,594,3268,0.9611650485436893,0.9538820782253357,0.0424764366154875,0.08191506559721444
28,-0.2132046532630918,-0.0005694451899812378,5.202833290896039e-05,0.055396602275391664,0.055133954102260685,1.0917862359328228,0.05526512215921208,1.0792145477591655,0.7,1.0,4656,0.8720734219891365,620,3242,0.9597523219814241,0.9540906415538553,0.04307851823236032,0.08954860460760444
29,-0.20320465326309178,-0.0004908555250955778,-9.410049489754018e-05,0.054348998318509534,0.05601485732967092,-0.08288602707098737,0.05517564124522556,1.0460016450876455,0.6766666666666666,1.0,4636,0.868815592203898,601,3255,0.9600638977635783,0.9523112931538912,0.04381240454126528,0.08876811594202899
30,-0.19320465326309177,-0.0007862425274092321,6.670348847283655e-05,0.05547951966726626,0.054027144808035915,1.9564297473476768,0.05474851635381246,1.0167393461236276,0.6633333333333333,1.0,4578,0.8558609085810431,606,3241,0.9619047619047619,0.9493263034563562,0.04438446731944096,0.09561226397457472
31,-0.18320465326309177,0.0018225007105179699,0.00228484681857947,0.05467008693809415,0.05164227155764003,2.2328261203200794,0.053134616548318546,1.0330226778476526,0.61,1.0,4305,0.8102766798418972,598,3220,0.9676375404530745,0.939871570344425,0.04624544460125029,0.1157312252964427
32,-0.17320465326309176,-0.0004899719574115567,4.1310084846149525e-05,0.05479770155244967,0.05574496722774433,-0.04718048145677991,0.05526930501821985,1.0556152419978166,0.6966666666666667,1.0,4670,0.8789760963674007,617,3253,0.970125786163522,0.954518779342723,0.03767771724687749,0.08431331953071083
33,-0.16320465326309175,0.002674845807983343,0.0013711276469499296,0.05166884918287269,0.05534283527209462,0.3282158561222501,0.05347429858377222,1.0290461583073405,0.6116666666666667,1.0,4367,0.8136761691820383,588,3244,0.9735099337748344,0.9430232558139535,0.04173340520560604,0.11396807651698655
