slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality,regularized_cx,regularized_cy,regularized_axis_a,regularized_axis_b,regularized_theta,regularized_equivalent_radius
0,-0.5679392218589783,-0.0011254007881882188,0.012969780404702352,0.05606231758911538,0.01884178604867238,0.00466394971780489,0.032500987575869666,1.9274601738171393,0.6,1.0,4666,0.4878201777313121,50,855,1.0,0.9115138592750534,0.044243070362473345,0.3073078933612128,-0.003898975778253639,0.015035125812235662,0.03586753940339763,0.031731475577321915,0.5723851963400156,0.03373618162444504
1,-0.44793922185897816,-0.004301166547408999,0.013908424824780125,0.01853405658163265,0.05395728879636855,1.6438893713789602,0.03162352674107346,1.8866657998497862,0.5866666666666667,1.0,4349,0.4549163179916318,50,847,1.0,0.9029850746268657,0.048507462686567165,0.3197824267782427,0.00048814515337407575,0.012436054770894284,0.03488475280248046,0.03323619280449554,0.7615512544499987,0.03405049735437658
2,-0.31793922185897805,0.007281399531908499,0.01102447271855517,0.06153795625123347,0.020313372170743537,-0.046701840315631495,0.03535595293523057,1.9695082850721604,0.56,1.0,5121,0.539962041332771,49,872,0.98,0.929637526652452,0.04518123667377399,0.25762125685364823,0.003962974559049688,0.010072399458505707,0.033987566364829254,0.03439937056334989,0.9362816725456926,0.034192848520271144
3,-0.19793922185897794,0.0021392685619936336,0.012382121067734064,0.018927309497971893,0.05577280978930112,1.5651056771236096,0.03249044832644848,2.065750663907487,0.6,1.0,4683,0.4837809917355372,50,848,1.0,0.9040511727078892,0.04797441364605544,0.30973140495867774,0.006525512438773197,0.007944159875069927,0.033175980090444014,0.03522100885388498,1.0965764506270972,0.03418320477225388
4,-0.07793922185897784,-0.001327327633413765,-0.000510132804582633,0.03169693441418897,0.0555272408598471,1.6260259203100087,0.041952870125123116,1.7799558958539785,0.5866666666666667,1.0,7478,0.8466938405797102,90,858,1.0,0.955456570155902,0.022271714922048998,0.08993961352657001,0.008175758792544606,0.006051336020586946,0.03244999397932474,0.03570110767610081,1.2424355886942127,0.03403675556137358
5,0.05206077814102228,0.013035639511596798,-0.0027906353822250846,0.028508253171374554,0.03760850537489378,2.1622368758021557,0.03274374432810751,1.1633159305314569,0.645,1.0,1963,0.7316436824450242,105,804,0.860655737704918,0.9284064665127021,0.10546889789118993,0.1730898248229594,0.008913713620363927,0.0043939278950567845,0.03180960803147154,0.035839667029997475,1.3738590867470435,0.03376456367558558
6,0.17206077814102239,0.012512693699148302,0.001984902945855524,0.02772396926977135,0.03895157117359911,1.1374440480160353,0.032861712709872155,1.1694748025197956,0.595,1.0,1956,0.7260579064587973,96,829,0.8727272727272727,0.9441913439635535,0.09154069165458686,0.1629955456570156,0.008801268438544809,0.0025147553116611435,0.03172864277143642,0.034801443126986485,1.3481202804121342,0.033229543435121335
7,0.3020607781410225,0.005970652324171322,0.007261584750705581,0.030643537838380905,0.0402174556573188,0.6367534019571494,0.035105628098617676,1.1204607928851256,0.5733333333333334,1.0,4343,0.7813961856783016,95,830,0.8050847457627118,0.9540229885057471,0.12044613286577051,0.12533285354444043,0.008176710325403286,0.0012924171261024676,0.031366784880594405,0.03439838684875617,1.453635268169056,0.032847630059479216
8,0.4220607781410226,0.002465098680014786,0.0010872309604561912,0.02485988111305191,0.0377461469123263,0.9372656891611053,0.030632739425592075,1.2031857944053255,0.5866666666666667,1.0,3818,0.6881759192501803,91,820,0.875,0.9276018099547512,0.09869909502262444,0.18293679403989424,0.0066911163042363475,0.00043861570823938885,0.030963206953226793,0.0339283291145837,1.5884140247722338,0.03241187862423351
9,0.5420607781410227,0.0015176620618768428,-0.0006919763884192714,0.02679053583638872,0.03731589185075436,2.178275511157868,0.031618234262754785,1.1712198236794726,0.6416666666666667,1.0,4101,0.7332379760414804,102,816,0.9107142857142857,0.9315068493150684,0.0788894324853229,0.17117229870671674,0.004344486375043983,-4.664894192809958e-05,0.030517908989333487,0.033391269924468975,1.7524565502216634,0.03192227649452984
10,0.6720607781410228,0.0007915148247291542,-0.0006505768068707624,0.02469456996010703,0.03793656007401525,2.2358857929695772,0.03060763036880792,1.1890256338580665,0.5716666666666667,1.0,3808,0.6868686868686869,94,820,0.9038461538461539,0.9276018099547512,0.08427601809954752,0.179006734006734,0.0011368205378261872,-0.00016337682439999772,0.030030890988914476,0.03278720927841199,1.9457628445173443,0.03137880029049415
11,0.7920607781410229,0.0004567611977683924,-0.00037946088179613077,0.02734038990920426,0.03640928475493295,2.125004567363559,0.0315506583372695,1.1338807042378491,0.6333333333333333,1.0,4095,0.7395701643489254,110,809,0.9016393442622951,0.9341801385681293,0.0820902585847878,0.16493889591234723,-0.0029318812074170435,8.843206082369444e-05,0.02950215295196977,0.032116147176412764,2.168332907659277,0.030781414623543564
